num_subjects,trials_per_subject,images_per_trial,subjects_noise_scale,subjects_noise_df,frac_trials_repeated,perspective_dispersion,rep,ndim,niter,stress,status,confdist_row
50,10,20,0.5,1,0.1,0.0,1,4,50.0,0.3423825800418854,success,97
50,10,20,0.5,1,0.1,0.0,1,5,50.0,0.36379867792129517,success,98
50,10,20,0.5,1,0.1,0.0,1,6,50.0,0.3865269720554352,success,99
50,10,20,0.5,1,0.1,0.0,2,2,50.0,1.594577431678772,success,100
50,10,20,0.5,1,0.1,0.0,2,3,50.0,1.780748724937439,success,101
50,10,20,0.5,1,0.1,0.0,2,4,50.0,1.9129903316497803,success,102
50,10,20,0.5,1,0.1,0.0,2,5,50.0,2.032731294631958,success,103
50,10,20,0.5,1,0.1,0.0,2,6,50.0,2.1096925735473633,success,104
50,10,20,0.5,1,0.1,0.25,0,2,50.0,1.4831503629684448,success,105
50,10,20,0.5,1,0.1,0.25,0,3,50.0,1.662428855895996,success,106
50,10,20,0.5,1,0.1,0.25,0,4,50.0,1.7494914531707764,success,107
50,10,20,0.5,1,0.1,0.25,0,5,50.0,1.8530992269515991,success,108
50,10,20,0.5,1,0.1,0.25,0,6,50.0,1.9270519018173218,success,109
50,10,20,0.5,1,0.1,0.25,1,2,50.0,1.5222305059432983,success,110
50,10,20,0.5,1,0.1,0.25,1,3,50.0,1.705454707145691,success,111
50,10,20,0.5,1,0.1,0.25,1,4,50.0,1.8904362916946411,success,112
50,10,20,0.5,1,0.1,0.25,1,5,50.0,2.0137031078338623,success,113
50,10,20,0.5,1,0.1,0.25,1,6,50.0,2.1400249004364014,success,114
50,10,20,0.5,1,0.1,0.25,2,2,50.0,1.2140841484069824,success,115
50,10,20,0.5,1,0.1,0.25,2,3,50.0,1.2900176048278809,success,116
50,10,20,0.5,1,0.1,0.25,2,4,50.0,1.296295404434204,success,117
50,10,20,0.5,1,0.1,0.25,2,5,50.0,1.284563660621643,success,118
50,10,20,0.5,1,0.1,0.25,2,6,50.0,1.3333337306976318,success,119
75,10,20,0.5,1,0.0,0.0,0,2,50.0,1.3448350429534912,success,120
75,10,20,0.5,1,0.0,0.0,0,3,50.0,1.4751472473144531,success,121
75,10,20,0.5,1,0.0,0.0,0,4,50.0,1.5781333446502686,success,122
75,10,20,0.5,1,0.0,0.0,0,5,50.0,1.6580710411071777,success,123
75,10,20,0.5,1,0.0,0.0,0,6,50.0,1.714754343032837,success,124
75,10,20,0.5,1,0.0,0.0,1,2,50.0,1.5249346494674683,success,125
75,10,20,0.5,1,0.0,0.0,1,3,50.0,1.5765702724456787,success,126
75,10,20,0.5,1,0.0,0.0,1,4,50.0,1.6288691759109497,success,127
75,10,20,0.5,1,0.0,0.0,1,5,50.0,1.6538954973220825,success,128
75,10,20,0.5,1,0.0,0.0,1,6,50.0,1.7249826192855835,success,129
75,10,20,0.5,1,0.0,0.0,2,2,50.0,0.6924606561660767,success,130
75,10,20,0.5,1,0.0,0.0,2,3,50.0,0.6086741089820862,success,131
75,10,20,0.5,1,0.0,0.0,2,4,50.0,0.6076074838638306,success,132
75,10,20,0.5,1,0.0,0.0,2,5,50.0,0.6201585531234741,success,133
75,10,20,0.5,1,0.0,0.0,2,6,50.0,0.6681878566741943,success,134
75,10,20,0.5,1,0.0,0.25,0,2,50.0,1.4755882024765015,success,135
75,10,20,0.5,1,0.0,0.25,0,3,50.0,1.5888252258300781,success,136
75,10,20,0.5,1,0.0,0.25,0,4,50.0,1.7058709859848022,success,137
75,10,20,0.5,1,0.0,0.25,0,5,50.0,1.783599853515625,success,138
75,10,20,0.5,1,0.0,0.25,0,6,50.0,1.8795959949493408,success,139
75,10,20,0.5,1,0.0,0.25,1,2,50.0,0.4399982690811157,success,140
75,10,20,0.5,1,0.0,0.25,1,3,50.0,0.3306673467159271,success,141
75,10,20,0.5,1,0.0,0.25,1,4,50.0,0.2693908214569092,success,142
75,10,20,0.5,1,0.0,0.25,1,5,50.0,0.24087867140769958,success,143
75,10,20,0.5,1,0.0,0.25,1,6,50.0,0.23490040004253387,success,144
75,10,20,0.5,1,0.0,0.25,2,2,50.0,0.5105287432670593,success,145
75,10,20,0.5,1,0.0,0.25,2,3,50.0,0.42431822419166565,success,146
75,10,20,0.5,1,0.0,0.25,2,4,50.0,0.4008008539676666,success,147
75,10,20,0.5,1,0.0,0.25,2,5,50.0,0.42339956760406494,success,148
75,10,20,0.5,1,0.0,0.25,2,6,50.0,0.43604031205177307,success,149
75,10,20,0.5,1,0.1,0.0,0,2,50.0,1.229263424873352,success,150
75,10,20,0.5,1,0.1,0.0,0,3,50.0,1.2816402912139893,success,151
75,10,20,0.5,1,0.1,0.0,0,4,50.0,1.2448312044143677,success,152
75,10,20,0.5,1,0.1,0.0,0,5,50.0,1.1662744283676147,success,153
75,10,20,0.5,1,0.1,0.0,0,6,50.0,1.1654003858566284,success,154
75,10,20,0.5,1,0.1,0.0,1,2,50.0,0.7646625638008118,success,155
75,10,20,0.5,1,0.1,0.0,1,3,50.0,0.6783304810523987,success,156
75,10,20,0.5,1,0.1,0.0,1,4,50.0,0.6397504210472107,success,157
75,10,20,0.5,1,0.1,0.0,1,5,50.0,0.6641308665275574,success,158
75,10,20,0.5,1,0.1,0.0,1,6,50.0,0.712250292301178,success,159
75,10,20,0.5,1,0.1,0.0,2,2,50.0,0.45778951048851013,success,160
75,10,20,0.5,1,0.1,0.0,2,3,50.0,0.35854288935661316,success,161
75,10,20,0.5,1,0.1,0.0,2,4,50.0,0.31353437900543213,success,162
75,10,20,0.5,1,0.1,0.0,2,5,50.0,0.3130156993865967,success,163
75,10,20,0.5,1,0.1,0.0,2,6,50.0,0.3256005644798279,success,164
75,10,20,0.5,1,0.1,0.25,0,2,50.0,1.4773765802383423,success,165
75,10,20,0.5,1,0.1,0.25,0,3,50.0,1.6235036849975586,success,166
75,10,20,0.5,1,0.1,0.25,0,4,50.0,1.695752501487732,success,167
75,10,20,0.5,1,0.1,0.25,0,5,50.0,1.7961751222610474,success,168
75,10,20,0.5,1,0.1,0.25,0,6,50.0,1.8302525281906128,success,169
75,10,20,0.5,1,0.1,0.25,1,2,50.0,1.144875407218933,success,170
75,10,20,0.5,1,0.1,0.25,1,3,50.0,0.9917119145393372,success,171
75,10,20,0.5,1,0.1,0.25,1,4,50.0,0.9495719075202942,success,172
75,10,20,0.5,1,0.1,0.25,1,5,50.0,0.9338176250457764,success,173
75,10,20,0.5,1,0.1,0.25,1,6,50.0,0.958382248878479,success,174
75,10,20,0.5,1,0.1,0.25,2,2,50.0,0.49591678380966187,success,175
75,10,20,0.5,1,0.1,0.25,2,3,50.0,0.43908917903900146,success,176
75,10,20,0.5,1,0.1,0.25,2,4,50.0,0.4525375962257385,success,177
75,10,20,0.5,1,0.1,0.25,2,5,50.0,0.48847028613090515,success,178
75,10,20,0.5,1,0.1,0.25,2,6,50.0,0.5196449160575867,success,179
